发送日期,发送时间,发送年份,时间位置,出现时间秒,弹幕内容,用户ID,弹幕颜色,颜色代码,弹幕模式,字体大小,弹幕长度
2025/11/9,13:54:00,2025,10:38,638.19,我在想端妃是不是也是如此,b35df7e9...,白色,#FFFFFF,滚动弹幕,正常,12
2025/10/31,19:01:54,2025,16:18,978.07,因为他知道沈眉庄提供不了爱的情绪,1574f519...,白色,#FFFFFF,滚动弹幕,正常,16
2025/10/29,23:44:07,2025,3:34,214.8,眉嬛szd,d31a5de4...,白色,#FFFFFF,滚动弹幕,正常,5
2025/10/29,21:39:25,2025,7:14,434.35,粉刺,bb557289...,白色,#FFFFFF,滚动弹幕,正常,2
2025/10/25,21:29:08,2025,2:15,135.84,5,796980f2...,白色,#FFFFFF,滚动弹幕,正常,1
2025/10/25,16:05:29,2025,14:41,881.81,好漂亮，眼睛好大，小鼻子小嘴巴小脸蛋,c0ef0316...,亮黄色,#FEF102,顶部弹幕,正常,18
2025/10/25,16:04:43,2025,14:06,846.64,好羡慕发缝啊，我现在的发缝是一条峡谷,c0ef0316...,亮黄色,#FEF102,顶部弹幕,正常,18
2025/10/25,16:03:32,2025,13:08,788.55,大家都说皇帝不该惩罚，但如果是嬛嬛，皇帝会轻罚,c0ef0316...,白色,#FFFFFF,滚动弹幕,正常,23
2025/10/25,15:58:03,2025,7:35,455.96,假孕不应该恨曹默琴和华妃吗？,c0ef0316...,白色,#FFFFFF,滚动弹幕,正常,14
2025/10/16,1:12:15,2025,4:23,263.7,而且甄嬛眉庄算是芳若一手带出来的博士毕业生，感情不一样啊,2201f73e...,白色,#FFFFFF,滚动弹幕,正常,28
2025/10/7,14:02:48,2025,1:22,82.62,现在的人都咋回事，科普点内容还能被说水时长？？,451e7819...,白色,#FFFFFF,滚动弹幕,正常,23
2025/10/3,16:51:20,2025,0:26,26.51,不用吟诗，听不懂,5d9852c3...,白色,#FFFFFF,滚动弹幕,正常,8
2025/10/1,9:22:07,2025,2:19,139.99,5,e44c9825...,白色,#FFFFFF,滚动弹幕,正常,1
2025/9/25,10:28:29,2025,12:26,746.76,男的解说真不行，根本看不懂女人,a5598939...,白色,#FFFFFF,滚动弹幕,正常,15
2025/9/24,2:58:39,2025,16:12,972.17,假孕事件胖橘恼羞成怒了,13ef8f53...,白色,#FFFFFF,滚动弹幕,正常,11
2025/9/18,15:24:37,2025,0:53,53.63,《官职》,63d9f06b...,其他颜色,#FE0302,滚动弹幕,正常,4
2025/9/16,20:27:57,2025,7:22,442.71,粉刺,d48e2195...,白色,#FFFFFF,滚动弹幕,正常,2
2025/9/13,13:44:16,2025,13:40,820.79,安对大橘的感情还不如她前期对眉嬛的,2cdbcf12...,白色,#FFFFFF,滚动弹幕,正常,17
2025/9/13,12:14:35,2025,12:47,767.79,看这里 我就无法理解追妻火葬场 能成功的 眉姐姐是绝对不会接受的,7e85c253...,白色,#FFFFFF,滚动弹幕,正常,32
2025/9/11,13:11:44,2025,11:50,710.23,北分中,36aa8ca3...,白色,#FFFFFF,滚动弹幕,正常,3
2025/9/11,13:07:16,2025,7:21,441.76,粉刺,36aa8ca3...,白色,#FFFFFF,滚动弹幕,正常,2
2025/9/9,12:00:05,2025,2:18,138.83,5,eebc381d...,白色,#FFFFFF,滚动弹幕,正常,1
2025/9/3,18:34:38,2025,1:18,78.81,水时长,d5aac431...,白色,#FFFFFF,滚动弹幕,正常,3
2025/8/31,9:23:02,2025,2:17,137.5,5,7e840677...,白色,#FFFFFF,滚动弹幕,正常,1
2025/8/30,21:29:40,2025,2:17,137.66,5,3a09d8da...,白色,#FFFFFF,滚动弹幕,正常,1
